[2026-05-16 15:36:57] greeting | OK | OK
[2026-05-16 15:36:57] ehlo | OK | OK
[2026-05-16 15:36:57] starttls | OK | OK
[2026-05-16 15:36:58] tls | OK | OK
[2026-05-16 15:36:58] ehlo2 | OK | OK
[2026-05-16 15:36:58] auth_login | OK | OK
[2026-05-16 15:36:58] auth_user | OK | OK
[2026-05-16 15:36:58] auth_pass | OK | OK
[2026-05-16 15:36:59] mail_from | OK | OK
[2026-05-16 15:36:59] rcpt_to | OK | OK
[2026-05-16 15:36:59] data_cmd | OK | OK
[2026-05-16 15:37:00] data_content | OK | OK
[2026-05-16 22:38:14] greeting | OK | OK
[2026-05-16 22:38:14] ehlo | OK | OK
[2026-05-16 22:38:14] starttls | OK | OK
[2026-05-16 22:38:15] tls | OK | OK
[2026-05-16 22:38:15] ehlo2 | OK | OK
[2026-05-16 22:38:15] auth_login | OK | OK
[2026-05-16 22:38:15] auth_user | OK | OK
[2026-05-16 22:38:15] auth_pass | OK | OK
[2026-05-16 22:38:15] mail_from | OK | OK
[2026-05-16 22:38:16] rcpt_to | OK | OK
[2026-05-16 22:38:16] data_cmd | OK | OK
[2026-05-16 22:38:17] data_content | OK | OK
